Device Status,Status,Device ID,Name,Site,Poll Type,Poll Group Name,Admin Profile,Client Profile,IP Address,Trap Status,Syslog Status,Poll Status,Poll Details,Device Type,Family,Firmware,Reference,Connector,Updates,Archived,Config Changed,Policy Domain,Boot PROM,Base MAC,Serial Number,Stats,Location,Contact,System Name,Uptime,Nickname,Description,User Data 1,User Data 2,User Data 3,User Data 4,Notes,Asset Tag,Network OS ID,Network OS,Device Group ID
1,Up - No Alarms,5,172.24.201.8,/World/LCSO/HQ,SNMPv1,Default,public_v1_Profile,public_v1_Profile,172.24.201.8,Not Supported,Not Supported,Available: 99.995%,Up: 18372 Down: 1,,,82000747_V,FALSE,,"Run ""Check for Updates"" to find new firmware releases",FALSE,FALSE,N/A,,,,Collecting Historical,,,,28 Days 09:56:52,,PortServer TS 2 MEI Version 82000747_V 03/17/2011,,,,,,,nos-id-unknown,Unknown,
1,Up - No Alarms,110,ALPHA_MDF_450-48P_STACK,/World/LCSO/NORTH,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.2.2,Trap Receiver Registered,Syslog Receiver Registered,Available: 100.000%,Up: 18345 Down: 0,EXOS Stack,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,1.0.2.1,02:04:96:CD:7A:77,800601-00-20 1935N-43832,Collecting Historical,CIVIL,Lee County Sheriff,ALPHA_MDF_450-48P_STACK,147 Days 17:49:37,ALPHA_MDF_450-48P_STACK,ExtremeXOS (Stack) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:54:28 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,105,AVIAT_MDF_440-48P-SW1,/World/LCSO/AVIATION,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.10.254,Trap Receiver Registered,Syslog Receiver Registered,Available: 100.000%,Up: 18375 Down: 0,X440-G2-48p-10GE4,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,1.0.1.8,00:04:96:A0:9E:95,800618-00-13 1744N-40069,Not Collecting,CIVIL,Lee County Sheriff,AVIAT_MDF_440-48P-SW1,193 Days 22:18:03,AVIAT_MDF_440-48P-SW1,ExtremeXOS (X440G2-48p-10G4) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:54:28 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,142,BRAVO_CID_450-48P_SW1,/World/LCSO/EAST,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.3.3,Trap Receiver Registered,Syslog Receiver Registered,Available: 99.918%,Up: 18359 Down: 15,X450-G2-48p-10GE4,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,1.0.2.1,00:04:96:E3:A6:26,800601-00-21 2016G-00451,Not Collecting,CIVIL,Lee County Sheriff,BRAVO_CID_450-48P_SW1,173 Days 23:34:42,BRAVO_CID_450-48P_SW1,ExtremeXOS (X450G2-48p-10G4) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:54:28 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,106,BRAVO_MDF-RM10_450-48P_STACK,/World/LCSO/EAST,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.3.2,Trap Receiver Registered,Syslog Receiver Registered,Available: 100.000%,Up: 18343 Down: 0,EXOS Stack,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,1.0.2.1,02:04:96:CD:7A:82,800601-00-20 1935N-43836,Collecting Historical,CIVIL,Lee County Sheriff,BRAVO_MDF-RM10_450-48P_STACK,149 Days 00:18:03,BRAVO_MDF-RM10_450-48P_STACK,ExtremeXOS (Stack) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:54:28 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,57,CHARLIE_MDF-1122_7400A_CORE,/World/LCSO/WEST,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.161,Trap Receiver Unregistered,Syslog Receiver Unregistered,Available: 100.000%,Up: 18375 Down: 0,VSP-7400-48Y-8C,VSP Series,8.0.5.1,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,FALSE,N/A,,88:7E:25:B7:B0:00,2003Q-30075,Collecting Historical,,http://www.extremenetworks.com/contact/,CHARLIE_MDF-1122_7400A_CORE,125 Days 00:02:08,CHARLIE_MDF-1122_7400A_CORE,VSP-7400-48Y-8C (8.0.5.1),,,,,,,nos-id-voss,VOSS,
1,Up - No Alarms,67,CHARLIE_MDF-1122_X465-48P_STACK,/World/LCSO/WEST,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.252.165,Trap Receiver Registered,Syslog Receiver Registered,Available: 100.000%,Up: 18372 Down: 0,ONIE Stack,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,,5E:0E:8B:FD:D6:F5,800905-00-05 2009F-20451,Collecting Historical,West,Lee County Sheriff,CHARLIE_MDF-1122_X465-48P_STACK,209 Days 23:55:00,CHARLIE_MDF-1122_X465-48P_STACK,ExtremeXOS (Stack) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:52:45 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,92,CIVIL_MDF-450-48P_SW1,/World/LCSO/CIVIL,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.17.2,Trap Receiver Registered,Syslog Receiver Registered,Available: 100.000%,Up: 18344 Down: 0,X450-G2-48p-10GE4,Summit Series,22.6.1.4,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,1.0.2.1,00:04:96:CD:7B:8E,800601-00-20 1935N-43895,Not Collecting,CIVIL,Lee County Sheriff,CIVIL_MDF-450-48P_SW1,183 Days 03:13:58,CIVIL_MDF-450-48P_SW1,ExtremeXOS (X450G2-48p-10G4) version 22.6.1.4 22.6.1.4 by release-manager on Thu Sep 6 13:05:56 EDT 2018,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,103,DELTA_MDF_450-48P_STACK,/World/LCSO/SOUTH,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.4.2,Trap Receiver Registered,Syslog Receiver Registered,Available: 100.000%,Up: 18373 Down: 0,EXOS Stack,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,1.0.2.1,02:04:96:CD:7A:A4,800601-00-20 1935N-43839,Not Collecting,CIVIL,Lee County Sheriff,DELTA_MDF_450-48P_STACK,194 Days 01:59:23,DELTA_MDF_450-48P_STACK,ExtremeXOS (Stack) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:54:28 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,91,ECU_IDF1-220A-450-48P_SW1,/World/LCSO/ECU,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.22.4,Trap Receiver Registered,Syslog Receiver Registered,Available: 99.973%,Up: 18368 Down: 5,X465-48P,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,,5C:0E:8B:FE:04:F9,800905-00-05 2009F-20453,Not Collecting,ECU,Lee County Sheriff,ECU_IDF1-220A-450-48P_SW1,128 Days 01:13:42,ECU_IDF1-220A-450-48P_SW1,ExtremeXOS (X465-48P) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:52:45 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
