#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The shadow copies of volume I: were aborted during detection because a critical control file could not be opened.","27",,"49158","2","0",,"36028797018963968","2421192","volsnap",,"System",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 1:09:24 PM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The shadow copies of volume I: were deleted because the shadow copy storage could not grow in time.  Consider reducing the IO load on the system or choose a shadow copy storage volume that is not being shadow copied.","25",,"49158","2","0",,"36028797018963968","2421189","volsnap",,"System",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 1:02:11 PM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Kerberos client received a KRB_AP_ERR_MODIFIED error from the server mdc-10632$. The target name used was cifs/lap-11227.sheriffleefl.org. This indicates that the target server failed to decrypt the ticket provided by the client. This can occur when the target server principal name (SPN) is registered on an account other than the account the target service is using. Ensure that the target SPN is only registered on the account used by the server. This error can also happen if the target service account password is different than what is configured on the Kerberos Key Distribution Center for that target service. Ensure that the service on the server and the KDC are both configured to use the same password. If the server name is not fully qualified, and the target domain (SHERIFFLEEFL.ORG) is different from the client domain (SHERIFFLEEFL.ORG), check if there are identically named server accounts in these two domains, or use the fully-qualified name to identify the server.","4","0","16384","2","0","0","36028797018963968","2421184","Microsoft-Windows-Security-Kerberos","98e6cfcb-ee0a-41e0-a57b-622d4e1b30b1","System","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 1:01:13 PM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Kerberos client received a KRB_AP_ERR_MODIFIED error from the server mdc-10251$. The target name used was cifs/mdc-10602.sheriffleefl.org. This indicates that the target server failed to decrypt the ticket provided by the client. This can occur when the target server principal name (SPN) is registered on an account other than the account the target service is using. Ensure that the target SPN is only registered on the account used by the server. This error can also happen if the target service account password is different than what is configured on the Kerberos Key Distribution Center for that target service. Ensure that the service on the server and the KDC are both configured to use the same password. If the server name is not fully qualified, and the target domain (SHERIFFLEEFL.ORG) is different from the client domain (SHERIFFLEEFL.ORG), check if there are identically named server accounts in these two domains, or use the fully-qualified name to identify the server.","4","0","16384","2","0","0","36028797018963968","2421180","Microsoft-Windows-Security-Kerberos","98e6cfcb-ee0a-41e0-a57b-622d4e1b30b1","System","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 12:56:05 PM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Kerberos client received a KRB_AP_ERR_MODIFIED error from the server mdc-11091$. The target name used was cifs/mdc-6388.sheriffleefl.org. This indicates that the target server failed to decrypt the ticket provided by the client. This can occur when the target server principal name (SPN) is registered on an account other than the account the target service is using. Ensure that the target SPN is only registered on the account used by the server. This error can also happen if the target service account password is different than what is configured on the Kerberos Key Distribution Center for that target service. Ensure that the service on the server and the KDC are both configured to use the same password. If the server name is not fully qualified, and the target domain (SHERIFFLEEFL.ORG) is different from the client domain (SHERIFFLEEFL.ORG), check if there are identically named server accounts in these two domains, or use the fully-qualified name to identify the server.","4","0","16384","2","0","0","36028797018963968","2421159","Microsoft-Windows-Security-Kerberos","98e6cfcb-ee0a-41e0-a57b-622d4e1b30b1","System","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 12:45:21 PM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to update the IP address on Isatap interface isatap.{BFF3EF53-0D8C-4A69-BB01-300C22E2BD89}. Update Type: 1. Error Code: 0x490.","4202","0",,"2","0","0","-9223372036854775808","2421125","Microsoft-Windows-Iphlpsvc","66a5c15c-4f8e-4044-bf6e-71d896038977","System","1256","5336","lcso-rms.sheriffleefl.org","S-1-5-18","3/9/2021 12:41:30 PM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.","1500",,"49407","2","0",,"36028797018963968","2421096","SNMP",,"System",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 12:41:10 PM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Kerberos client received a KRB_AP_ERR_MODIFIED error from the server mdc-10266$. The target name used was cifs/mdc-11097.sheriffleefl.org. This indicates that the target server failed to decrypt the ticket provided by the client. This can occur when the target server principal name (SPN) is registered on an account other than the account the target service is using. Ensure that the target SPN is only registered on the account used by the server. This error can also happen if the target service account password is different than what is configured on the Kerberos Key Distribution Center for that target service. Ensure that the service on the server and the KDC are both configured to use the same password. If the server name is not fully qualified, and the target domain (SHERIFFLEEFL.ORG) is different from the client domain (SHERIFFLEEFL.ORG), check if there are identically named server accounts in these two domains, or use the fully-qualified name to identify the server.","4","0","16384","2","0","0","36028797018963968","2420960","Microsoft-Windows-Security-Kerberos","98e6cfcb-ee0a-41e0-a57b-622d4e1b30b1","System","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 11:34:23 AM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Kerberos client received a KRB_AP_ERR_MODIFIED error from the server mdc-10551$. The target name used was cifs/mdc-10158.sheriffleefl.org. This indicates that the target server failed to decrypt the ticket provided by the client. This can occur when the target server principal name (SPN) is registered on an account other than the account the target service is using. Ensure that the target SPN is only registered on the account used by the server. This error can also happen if the target service account password is different than what is configured on the Kerberos Key Distribution Center for that target service. Ensure that the service on the server and the KDC are both configured to use the same password. If the server name is not fully qualified, and the target domain (SHERIFFLEEFL.ORG) is different from the client domain (SHERIFFLEEFL.ORG), check if there are identically named server accounts in these two domains, or use the fully-qualified name to identify the server.","4","0","16384","2","0","0","36028797018963968","2420957","Microsoft-Windows-Security-Kerberos","98e6cfcb-ee0a-41e0-a57b-622d4e1b30b1","System","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 11:19:16 AM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Kerberos client received a KRB_AP_ERR_MODIFIED error from the server mdc-8979$. The target name used was cifs/mdc-10147.sheriffleefl.org. This indicates that the target server failed to decrypt the ticket provided by the client. This can occur when the target server principal name (SPN) is registered on an account other than the account the target service is using. Ensure that the target SPN is only registered on the account used by the server. This error can also happen if the target service account password is different than what is configured on the Kerberos Key Distribution Center for that target service. Ensure that the service on the server and the KDC are both configured to use the same password. If the server name is not fully qualified, and the target domain (SHERIFFLEEFL.ORG) is different from the client domain (SHERIFFLEEFL.ORG), check if there are identically named server accounts in these two domains, or use the fully-qualified name to identify the server.","4","0","16384","2","0","0","36028797018963968","2420932","Microsoft-Windows-Security-Kerberos","98e6cfcb-ee0a-41e0-a57b-622d4e1b30b1","System","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 10:45:12 AM",,,"system","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
