#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Unable to open the Server service performance object. The first four bytes (DWORD) of the Data section contains the status code.","2004","0","49152","2","0","0","36028797018963968","677989","Microsoft-Windows-PerfNet","cab2b8a5-49b9-4eec-b1b0-fac21da05a3b","Application","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 12:41:19 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Open Procedure for service ""BITS"" in DLL ""C:\Windows\System32\bitsperf.dll"" failed. Performance data for this service will not be available. The first four bytes (DWORD) of the Data section contains the error code.","1008","0","49152","2","0","0","36028797018963968","677988","Microsoft-Windows-Perflib","13b197bd-7cee-4b4e-8dd0-59314ce374ce","Application","0","0","lcso-rms.sheriffleefl.org",,"3/9/2021 12:41:16 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{35e1fef5-23de-4bcd-ac03-105a0f01cd86}\'. ","7001",,"0","2","0",,"36028797018963968","677952","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:09 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{e2a07780-9916-45ba-88e1-4b8636c1790e}\'. ","7001",,"0","2","0",,"36028797018963968","677951","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:08 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{7654f60d-a3ce-4a50-9983-5f198118b8a8}\'. ","7001",,"0","2","0",,"36028797018963968","677950","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:07 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{da060444-ef0c-43ce-99f7-301b818205cc}\'. ","7001",,"0","2","0",,"36028797018963968","677949","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:07 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{1813e1d9-0da4-45c1-b82d-5a6b011a1ea6}\'. ","7001",,"0","2","0",,"36028797018963968","677948","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:07 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{518bbfc6-6994-4946-80c3-af12b9383a70}\'. ","7001",,"0","2","0",,"36028797018963968","677947","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:07 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{809efd6d-9bcc-495b-8dbb-2f197583b5ff}\'. ","7001",,"0","2","0",,"36028797018963968","677946","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:06 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"VssAdmin: Unable to create a shadow copy: Another shadow-copy creation is in progress, so the current shadow copy cannot be created.  There are a number of common scenarios causing this problem:          * If Shadow Copies of Shared Folders is set up, ensure that no two volumes have schedules that lie within five minutes             of each other.           * If automatic backup of any form is scheduled, ensure that the backup schedule does not overlap with the schedule            used for Shadow Copies of Shared Folders.    Generally, retrying the operation after a few minutes or changing the schedule of an automatic task should fix this problem. 
Command-line: 'C:\Windows\system32\vssadmin.exe Create Shadow /AutoRetry=15 /For=\\?\Volume{ed908819-f7fd-4cf3-828a-f6a5aa4a4ff7}\'. ","7001",,"0","2","0",,"36028797018963968","677945","VSS",,"Application",,,"lcso-rms.sheriffleefl.org",,"3/9/2021 7:15:05 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
