#TYPE Microsoft.Exchange.Data.Mapi.PublicFolderStatistics
"PSComputerName","RunspaceId","AdminDisplayName","AssociatedItemCount","ContactCount","CreationTime","DeletedItemCount","EntryId","ExpiryTime","FolderPath","IsDeletePending","ItemCount","LastAccessTime","LastModificationTime","LastUserModificationTime","LastUserAccessTime","Name","OwnerCount","TotalAssociatedItemSize","TotalDeletedItemSize","TotalItemSize","ServerName","StorageGroupName","DatabaseName","Identity","MapiIdentity","OriginatingServer","IsValid"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","EX:O=LEE COUNTY SHERIFF'S OFFICEOU=EXTERNAL (FYDIBOHF25SPDLT)","0","1","9/11/2013 3:49:41 PM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000000004160000",,"SCHEDULE+ FREE BUSY\EX:O=LEE COUNTY SHERIFF'S OFFICEOU=EXTERNAL (FYDIBOHF25SPDLT)","False","0","9/21/2020 8:01:25 PM","8/21/2019 2:36:23 PM",,,"EX:O=LEE COUNTY SHERIFF'S OFFICEOU=EXTERNAL (FYDIBOHF25SPDLT)","1","0 B (0 bytes)","0 B (0 bytes)","0 B (0 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000000004160000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000000004160000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","Taylor and Crowe","0","3","10/29/2013 2:00:20 PM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000002C7F9F0000",,"Information Technologies\Tech Support Contacts\Vendors\Taylor and Crowe","False","1","8/21/2019 10:23:31 AM","9/17/2014 1:25:03 PM","10/29/2013 2:01:00 PM","10/2/2018 7:02:59 PM","Taylor and Crowe","3","0 B (0 bytes)","0 B (0 bytes)","6.08 KB (6,226 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000002C7F9F0000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000002C7F9F0000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","Correctional Tours","0","4","2/13/2014 6:34:13 AM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000005876B80000",,"Corrections\Correctional Tours","False","45","4/29/2021 7:32:04 AM","1/5/2017 12:24:50 PM","8/14/2015 8:57:58 AM","10/3/2018 3:43:15 PM","Correctional Tours","4","0 B (0 bytes)","0 B (0 bytes)","5.215 MB (5,468,391 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000005876B80000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000005876B80000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","K-9 Training Schedule","0","2","3/28/2014 3:19:35 PM","6","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000006F47B50000",,"K-9\K-9 Training Schedule","False","42","4/29/2021 9:17:03 AM","3/28/2014 3:19:35 PM","4/22/2021 11:20:46 AM","4/28/2021 11:00:22 AM","K-9 Training Schedule","2","0 B (0 bytes)","188.5 KB (193,032 bytes)","1.685 MB (1,767,366 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000006F47B50000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000006F47B50000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","Senior Services","0","1","4/23/2014 8:58:36 AM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000007658260000",,"Senior Services","False","9","4/29/2021 1:18:44 PM","7/23/2015 9:44:09 AM","8/3/2020 2:46:51 PM","4/29/2021 1:18:45 PM","Senior Services","1","0 B (0 bytes)","0 B (0 bytes)","43.74 KB (44,793 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000007658260000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000007658260000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","Finance","0","2","9/11/2014 2:29:00 PM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009245580000",,"Finance","False","0","4/27/2021 6:07:01 AM","5/31/2019 4:05:31 PM",,,"Finance","2","0 B (0 bytes)","0 B (0 bytes)","0 B (0 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009245580000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009245580000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","Accounts Receivable","0","2","9/11/2014 2:36:47 PM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009245AF0000",,"Finance\Accounts Receivable","False","1","4/29/2021 7:04:08 AM","9/15/2014 3:56:42 PM",,"3/10/2021 3:58:10 PM","Accounts Receivable","2","0 B (0 bytes)","0 B (0 bytes)","16.7 KB (17,101 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009245AF0000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009245AF0000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","CPU MWD","8","3","12/2/2014 9:59:03 AM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009FF0CE0000",,"Corrections\CPU MWD","False","49","4/29/2021 3:50:06 PM","1/5/2017 12:25:08 PM","12/2/2014 9:59:03 AM","12/29/2020 9:45:54 AM","CPU MWD","3","11.17 KB (11,443 bytes)","0 B (0 bytes)","327.9 KB (335,809 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009FF0CE0000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE8030000009FF0CE0000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","Fugitive Warrants","0","1","1/20/2015 4:46:57 PM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE803000000A5C2F30000",,"Fugitive Warrants","False","0","4/29/2021 6:22:08 AM","10/3/2016 11:40:14 AM",,,"Fugitive Warrants","1","0 B (0 bytes)","0 B (0 bytes)","0 B (0 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE803000000A5C2F30000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE803000000A5C2F30000","hdq-mbx2.sheriffleefl.org","True"
"hdq-cas2.sheriffleefl.org","a08f8c70-f09c-4e45-865e-56a0083e0e89","Communications Training","0","1","3/31/2015 2:59:31 PM","0","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE803000000B7BC7A0000",,"Communications Training","False","256","4/29/2021 4:42:56 AM","1/16/2019 3:37:29 PM","4/15/2021 8:36:58 AM","2/25/2021 10:03:23 AM","Communications Training","1","0 B (0 bytes)","0 B (0 bytes)","4.357 MB (4,568,740 bytes)",,,"PFDatabase2","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE803000000B7BC7A0000","000000001A447390AA6611CD9BC800AA002FC45A030036C692D385F81B40B6F3B542893CE803000000B7BC7A0000","hdq-mbx2.sheriffleefl.org","True"
